Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed,Mean Rebuild Frequency
2025-09-11 15:41:53,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,98048339843,99167724609,98658691406,98844482421,98819580078,99184814453,98111572265,98678710937,99178710937,98863769531,98105249022,98105249022,10
2025-09-11 15:41:56,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,159331054687,52817382812,53743652343,53119140625,52998535156,52848632812,52824707031,53199218750,53112304687,53202636718,63468749999,63468749999,10
2025-09-11 15:41:59,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,39892089843,39773925781,40045410156,39720214843,39887207031,40038574218,39689941406,40255859375,40446777343,40529296875,39710156249,39710156249,10
2025-09-11 15:42:01,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,48839843750,48949218750,49320312500,49509277343,49332519531,49848632812,49725097656,49676269531,49893554687,50072265625,48938281250,48938281250,10
2025-09-11 15:42:04,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,38568359375,39207031250,39495117187,39406738281,39831542968,39877929687,39830078125,39997558593,40259765625,40148437500,39143164062,39143164062,10
2025-09-11 15:42:06,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,40679687500,41163085937,40826171875,40789062500,40895507812,40972656250,40973632812,41002929687,40782226562,41071289062,40771972655,40771972655,10
2025-09-11 15:42:09,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,32640625000,32265625000,32463867187,32437500000,32389648437,32517578125,32208007812,32333984375,32526367187,32234375000,32251269530,32251269530,10
2025-09-11 15:42:12,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,56224609375,56226562500,56168945312,56633789062,56306640625,56664062500,56701171875,56419921875,56458007812,56536132812,56174511718,56174511718,10
2025-09-11 15:42:14,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,45808593750,45398437500,45438476562,45093750000,45693359375,45900390625,45786132812,46491210937,45712890625,46004882812,45165234375,45165234375,10
2025-09-11 15:42:17,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,45641601562,45177734375,45151367187,45622070312,45250976562,45315429687,45715820312,45513671875,45699218750,45553710937,45200390624,45200390624,10
2025-09-11 15:42:19,109,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,37373046875,37432617187,37316406250,37320312500,37283203125,37382812500,37349609375,37116210937,37528320312,37135742187,37141894530,37141894530,10
2025-09-11 15:42:22,119,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,47181640625,46959960937,46991210937,46974609375,47128906250,47177734375,47429687500,47149414062,47526367187,47462890625,46982128905,46982128905,10
2025-09-11 15:42:25,129,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,42801757812,42388671875,42482421875,42514648437,42377929687,42442382812,42618164062,42629882812,42398437500,42443359375,42420312499,42420312499,10
2025-09-11 15:42:28,139,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,72412109375,72787109375,72836914062,72835937500,72546875000,73080078125,72606445312,72863281250,72853515625,73121093750,72533398437,72533398437,10
2025-09-11 15:42:31,149,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,62125000000,62576171875,62482421875,62703125000,62287109375,62265625000,63421875000,63244140625,62625000000,62875000000,62251562500,62251562500,10
2025-09-11 15:42:34,159,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,68335937500,66912109375,66890625000,66474609375,66955078125,66697265625,67501953125,66787109375,66763671875,67083984375,66660742187,66660742187,10
2025-09-11 15:42:37,169,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,59140625000,58033203125,58414062500,57693359375,57734375000,57953125000,57744140625,57771484375,57837890625,58107421875,57838085937,57838085937,10
2025-09-11 15:42:41,179,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,92652343750,92539062500,92853515625,92554687500,92677734375,92939453125,92607421875,92488281250,92746093750,92660156250,92504687500,92504687500,10
2025-09-11 15:42:45,189,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,84365234375,84392578125,84462890625,84564453125,86062500000,85208984375,84771484375,85544921875,85300781250,84814453125,84389843750,84389843750,10
2025-09-11 15:42:49,199,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,108564453125,105783203125,105957031250,106056640625,106101562500,106408203125,106105468750,106382812500,106041015625,106341796875,106061328125,106061328125,10
2025-09-11 15:42:53,209,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,77513671875,76136718750,76445312500,76667968750,76355468750,76457031250,76556640625,76556640625,76556640625,76806640625,76274414062,76274414062,10
2025-09-11 15:42:57,219,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,90111328125,90416015625,89957031250,90410156250,90259765625,90324218750,90572265625,91302734375,90623046875,90804687500,89972460937,89972460937,10
2025-09-11 15:43:00,229,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,71552734375,72082031250,72017578125,71890625000,71554687500,71984375000,72095703125,71878906250,72386718750,72322265625,71554492187,71554492187,10
2025-09-11 15:43:04,239,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,76019531250,71857421875,72257812500,72015625000,71742187500,71970703125,72292968750,72560546875,72107421875,72089843750,72169921875,72169921875,10
2025-09-11 15:43:07,249,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,44072265625,42498046875,42015625000,42097656250,42515625000,42720703125,42830078125,42957031250,42367187500,42427734375,42221289062,42221289062,10
2025-09-11 15:43:11,259,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,91455078125,92466796875,92017578125,91775390625,91996093750,91896484375,92175781250,92169921875,92638671875,92468750000,91743359375,91743359375,10
2025-09-11 15:43:15,269,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,72830078125,73003906250,72539062500,73115234375,72890625000,73064453125,73048828125,73265625000,73677734375,72947265625,72568164062,72568164062,10
2025-09-11 15:43:18,279,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,77964843750,73316406250,73578125000,73886718750,73394531250,73191406250,73472656250,73449218750,74664062500,74035156250,73668750000,73668750000,10
2025-09-11 15:43:21,289,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,43554687500,42882812500,42984375000,42773437500,42863281250,42906250000,42972656250,43781250000,43941406250,43636718750,42851562500,42851562500,10
2025-09-11 15:43:37,299,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,855183593750,391015625000,396148437500,399617187500,404109375000,407824218750,412667968750,416253906250,418726562500,422890625000,437432421875,437432421875,10
2025-09-11 15:43:51,309,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,735750000000,342750000000,343003906250,343542968750,343843750000,344199218750,344578125000,345195312500,344847656250,344601562500,382050000000,382050000000,10
2025-09-11 15:44:06,319,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,778878906250,395066406250,400980468750,405097656250,409351562500,412738281250,418546875000,423582031250,428949218750,434164062500,433447656250,433447656250,10
2025-09-11 15:44:19,329,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,466347656250,354230468750,359273437500,364351562500,369332031250,373535156250,377859375000,381492187500,386464843750,391066406250,365442187500,365442187500,10
2025-09-11 15:44:33,339,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,738402343750,347113281250,346906250000,347761718750,348148437500,348750000000,348562500000,349300781250,350273437500,350160156250,386055859375,386055859375,10
2025-09-11 15:44:45,349,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,446785156250,331687500000,331343750000,331976562500,332757812500,332929687500,333496093750,334105468750,335421875000,334699218750,342887890625,342887890625,10
2025-09-11 15:45:01,359,pairwise,VerletClusterLists,1.000000,vcl_cluster_iteration,none,AoS,disabled,787148437500,400898437500,406164062500,410570312500,416492187500,420296875000,423390625000,428601562500,434468750000,438664062500,439523437500,439523437500,10
2025-09-11 15:45:14,369,pairwise,VerletClusterLists,1.000000,vcl_cluster_iteration,none,SoA,disabled,737171875000,345765625000,345625000000,346953125000,346781250000,346929687500,347460937500,347515625000,348210937500,348281250000,384779687500,384779687500,10
2025-09-11 15:45:31,379,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,AoS,disabled,852351562500,442406250000,448078125000,452398437500,456453125000,461406250000,465343750000,470125000000,473710937500,478062500000,483400781250,483400781250,10
2025-09-11 15:45:45,389,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,AoS,enabled,503359375000,383117187500,387507812500,391796875000,395343750000,400382812500,403703125000,408039062500,412960937500,417906250000,395141406250,395141406250,10
2025-09-11 15:45:59,399,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,SoA,disabled,754109375000,353476562500,353367187500,353281250000,352640625000,353593750000,356390625000,354265625000,354679687500,355757812500,392787500000,392787500000,10
2025-09-11 15:46:11,409,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,SoA,enabled,456742187500,337632812500,338398437500,338171875000,339406250000,338507812500,340078125000,340218750000,340273437500,341351562500,349543750000,349543750000,10
2025-09-11 15:46:28,419,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,disabled,848500000000,438242187500,443007812500,446070312500,450976562500,456062500000,460351562500,463421875000,470156250000,473828125000,479267968750,479267968750,10
2025-09-11 15:46:42,429,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,enabled,501171875000,380968750000,385320312500,388820312500,392531250000,396898437500,400914062500,406695312500,410187500000,413703125000,392989062500,392989062500,10
2025-09-11 15:46:56,439,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,disabled,754382812500,352773437500,353039062500,353820312500,353742187500,354085937500,354578125000,463945312500,355335937500,355343750000,392934375000,392934375000,10
2025-09-11 15:47:09,449,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,enabled,457257812500,338750000000,337992187500,338609375000,339132812500,339273437500,339968750000,339734375000,341210937500,341140625000,349918750000,349918750000,10
2025-09-11 15:47:26,459,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,disabled,892804687500,438789062500,443710937500,446757812500,452023437500,455390625000,460203125000,466171875000,469718750000,474343750000,484190625000,484190625000,10
2025-09-11 15:47:40,469,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,enabled,504132812500,381484375000,385906250000,389093750000,394585937500,397867187500,403414062500,407539062500,413437500000,416820312500,393749218750,393749218750,10
2025-09-11 15:47:54,479,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,disabled,747015625000,351578125000,351914062500,352281250000,352312500000,353093750000,353734375000,353593750000,353781250000,354156250000,391121875000,391121875000,10
2025-09-11 15:48:07,489,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,enabled,454578125000,337296875000,337859375000,338140625000,338265625000,338734375000,339156250000,339187500000,339437500000,340031250000,349025000000,349025000000,10
2025-09-11 15:48:26,499,pairwise,VerletClusterLists,1.000000,vcl_sliced_c02,none,AoS,disabled,939656250000,510562500000,515656250000,519609375000,523734375000,527984375000,531781250000,535109375000,540328125000,544078125000,553471875000,553471875000,10
2025-09-11 15:48:42,509,pairwise,VerletClusterLists,1.000000,vcl_sliced_c02,none,AoS,enabled,527015625000,411921875000,416000000000,420375000000,423890625000,428296875000,433578125000,437359375000,443296875000,446234375000,423431250000,423431250000,10
2025-09-11 15:48:56,519,pairwise,VerletClusterLists,1.000000,vcl_sliced_c02,none,SoA,disabled,760625000000,368484375000,368468750000,368609375000,369078125000,369328125000,369312500000,369640625000,370921875000,371312500000,407684375000,407684375000,10
2025-09-11 15:49:09,529,pairwise,VerletClusterLists,1.000000,vcl_sliced_c02,none,SoA,enabled,460390625000,362140625000,389218750000,345093750000,411843750000,345562500000,346203125000,346578125000,346890625000,347218750000,356623437500,356623437500,10
2025-09-11 15:49:17,539,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,604390625000,133328125000,133875000000,134375000000,134109375000,134093750000,133968750000,134015625000,134375000000,133968750000,180434375000,180434375000,10
2025-09-11 15:49:27,549,pairwise,VerletLists,1.000000,vl_list_iteration,none,SoA,disabled,1664765625000,77593750000,77531250000,77921875000,77421875000,77953125000,77765625000,77546875000,77671875000,78015625000,236156250000,236156250000,10
2025-09-11 15:49:33,559,pairwise,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,343937500000,49921875000,48968750000,49500000000,49375000000,49593750000,50328125000,49718750000,49937500000,49812500000,78465625000,78465625000,10
2025-09-11 15:49:41,569,pairwise,VerletListsCells,1.000000,vlc_c01,none,SoA,disabled,1310640625000,68265625000,67625000000,67609375000,67781250000,67531250000,67953125000,67796875000,68296875000,68640625000,191842187500,191842187500,10
2025-09-11 15:49:47,579,pairwise,VerletListsCells,1.000000,vlc_c18,none,AoS,disabled,993546875000,74562500000,74875000000,75359375000,75015625000,75703125000,75656250000,75734375000,75328125000,75156250000,166460937500,166460937500,10
2025-09-11 15:49:52,589,pairwise,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,740546875000,50640625000,49609375000,49703125000,49484375000,50000000000,49593750000,49765625000,50625000000,50328125000,118590625000,118590625000,10
2025-09-11 15:50:06,599,pairwise,VerletListsCells,1.000000,vlc_c18,none,SoA,disabled,2630921875000,108718750000,108000000000,107656250000,107671875000,107796875000,107765625000,107984375000,107875000000,107921875000,359982812500,359982812500,10
2025-09-11 15:50:15,609,pairwise,VerletListsCells,1.000000,vlc_c18,none,SoA,enabled,1532359375000,80437500000,81328125000,80703125000,80890625000,81203125000,80812500000,80671875000,81265625000,81203125000,225629687500,225629687500,10
2025-09-11 15:50:19,619,pairwise,VerletListsCells,1.000000,vlc_sliced,none,AoS,disabled,253515625000,65218750000,65328125000,66453125000,66281250000,66296875000,65656250000,65515625000,64609375000,65078125000,83500000000,83500000000,10
2025-09-11 15:50:22,629,pairwise,VerletListsCells,1.000000,vlc_sliced,none,AoS,enabled,169375000000,29890625000,29234375000,28703125000,28937500000,29046875000,28781250000,29187500000,29312500000,29203125000,42770312500,42770312500,10
2025-09-11 15:50:35,639,pairwise,VerletListsCells,1.000000,vlc_sliced,none,SoA,disabled,2362312500000,99109375000,97609375000,99312500000,99062500000,99296875000,98796875000,99890625000,98765625000,98468750000,324079687500,324079687500,10
2025-09-11 15:50:44,649,pairwise,VerletListsCells,1.000000,vlc_sliced,none,SoA,enabled,1437359375000,64750000000,65625000000,64843750000,65218750000,64765625000,65015625000,64828125000,65109375000,65171875000,202010937500,202010937500,10
2025-09-11 15:50:47,659,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,none,AoS,disabled,239250000000,64265625000,64468750000,64468750000,64593750000,65109375000,64875000000,63062500000,63218750000,63515625000,80681250000,80681250000,10
2025-09-11 15:50:50,669,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,none,AoS,enabled,164890625000,28468750000,27156250000,26718750000,26515625000,27015625000,26734375000,27687500000,27031250000,27765625000,40353125000,40353125000,10
2025-09-11 15:51:03,679,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,none,SoA,disabled,2533531250000,92812500000,93125000000,93140625000,93421875000,93156250000,93328125000,93515625000,93656250000,93796875000,336884375000,336884375000,10
2025-09-11 15:51:12,689,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,none,SoA,enabled,1451953125000,62687500000,63406250000,62859375000,63031250000,62921875000,63296875000,63093750000,63140625000,64296875000,201614062500,201614062500,10
2025-09-11 15:51:18,699,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,AoS,disabled,606156250000,58984375000,59093750000,59468750000,59531250000,59078125000,59953125000,59937500000,59296875000,60328125000,113701562500,113701562500,10
2025-09-11 15:51:22,709,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,AoS,enabled,432234375000,27375000000,27484375000,27343750000,27359375000,27484375000,28046875000,27718750000,28234375000,28171875000,67832812500,67832812500,10
2025-09-11 15:51:35,719,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,SoA,disabled,2524703125000,86171875000,86343750000,86421875000,86859375000,86437500000,86406250000,86281250000,86906250000,86390625000,330025000000,330025000000,10
2025-09-11 15:51:44,729,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,SoA,enabled,1551093750000,64968750000,64234375000,64828125000,64500000000,64875000000,64968750000,64953125000,64984375000,64968750000,212920312500,212920312500,10
2025-09-11 15:51:51,739,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,AoS,disabled,659062500000,62796875000,63000000000,63734375000,63093750000,63109375000,63078125000,63390625000,63812500000,63750000000,122423437500,122423437500,10
2025-09-11 15:51:54,749,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,AoS,enabled,452093750000,28796875000,28718750000,28953125000,28843750000,29546875000,29125000000,29125000000,29265625000,29312500000,71056250000,71056250000,10
2025-09-11 15:52:07,759,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,SoA,disabled,2467109375000,90500000000,90671875000,90781250000,91031250000,90703125000,90109375000,90781250000,90187500000,91078125000,327809375000,327809375000,10
